pdb, avg_time, std_time
1A1X_A, 0.5834, 0.0134
1A5T_A, 1.8170, 0.0589
1A96_D, 0.8304, 0.0266
1AM2_A, 0.8425, 0.0058
1AMX_A, 0.7092, 0.0082
1AOC_A, 1.1618, 0.0126
1AVO_B, 1.1636, 0.0026
1B4F_F, 0.4657, 0.0039
1B63_A, 1.9832, 0.0833
1BCP_B, 1.0375, 0.0015
1BJA_A, 0.5466, 0.0118
1BTE_A, 0.5008, 0.0106
1BU3_A, 0.5475, 0.0048
1CFB_A, 1.1390, 0.0124
1CS0_C, 7.7084, 0.1683
1CVJ_F, 0.7249, 0.0114
1D2N_A, 1.5000, 0.0034
1D2P_A, 2.6840, 0.0725
1DD3_A, 0.6395, 0.0037
1DGJ_A, 7.4706, 0.1735
1DYP_A, 1.3411, 0.0437
1E5R_A, 1.5004, 0.0118
1EE0_A, 1.7901, 0.0085
1EJF_A, 0.5393, 0.0053
1EM2_A, 1.0345, 0.0110
1EPA_A, 0.7507, 0.0034
1EUT_A, 3.4512, 0.0965
1F5A_A, 2.9794, 0.0558
1FC5_B, 2.6111, 0.0168
1FKM_A, 1.8527, 0.0734
1FNN_A, 2.3632, 0.0592
1FS0_G, 1.2174, 0.0411
1G2W_A, 1.5923, 0.0156
1G4T_B, 0.9796, 0.0064
1G8Q_A, 0.4757, 0.0026
1GAN_A, 0.6028, 0.0052
1GGE_D, 6.6096, 0.1293
1GL4_A, 1.6521, 0.0544
1GMV_B, 0.6245, 0.0057
1GO3_F, 0.7715, 0.0145
1GQK_B, 4.6775, 0.0599
1GRW_D, 0.6258, 0.0143
1GU2_A, 0.6549, 0.0099
1GVN_A, 0.5128, 0.0070
1GWC_C, 1.0771, 0.0125
1GXK_D, 0.8832, 0.0059
1H21_A, 1.5715, 0.0097
1H30_A, 3.0361, 0.0354
1H4R_B, 1.8801, 0.0470
1H4X_A, 0.5367, 0.0067
1H5K_A, 1.4188, 0.0038
1H6P_B, 1.1491, 0.0090
1HF8_A, 1.5650, 0.0147
1HW1_A, 1.3177, 0.0131
1HZX_A, 2.0722, 0.0686
1I24_A, 2.0932, 0.0172
1I2K_A, 1.4224, 0.0023
1I8L_D, 0.5420, 0.0109
1II0_B, 3.3916, 0.0721
1IK4_E, 0.8001, 0.0190
1IO8_A, 1.8962, 0.0161
1IOO_A, 0.9793, 0.0055
1IQ8_A, 3.7796, 0.0584
1IQV_A, 0.8789, 0.0374
1IUW_A, 2.2615, 0.0070
1IXC_A, 1.8425, 0.0536
1J0W_A, 0.4449, 0.0030
1J22_A, 0.6667, 0.0085
1JDE_A, 6.2465, 0.1719
1JEQ_A, 5.2580, 0.0523
1JHS_A, 0.9694, 0.0102
1JID_A, 0.7029, 0.0070
1JKV_D, 1.9013, 0.0355
1JOA_A, 2.0906, 0.0378
1JQJ_D, 2.1803, 0.0225
1K3D_A, 3.1237, 0.0070
1K66_A, 0.7238, 0.0141
1K6M_A, 2.2250, 0.0552
1K7C_A, 0.9505, 0.0315
1KCF_A, 1.3427, 0.0149
1KF6_C, 1.3056, 0.0269
1KI1_B, 2.6131, 0.0422
1KLF_P, 2.3047, 0.0120
1KOE_A, 0.8150, 0.0217
1KRF_B, 2.3418, 0.0135
1KU8_G, 0.5557, 0.0026
1L4U_A, 0.7720, 0.0071
1L8L_A, 1.2119, 0.0061
1LBA_A, 0.6334, 0.0021
1LFP_A, 1.1845, 0.0146
1LPB_A, 0.4949, 0.0129
1LTS_A, 0.9058, 0.0101
1LU4_A, 0.5148, 0.0069
1LVM_A, 1.2343, 0.0025
1LYN_B, 0.6257, 0.0055
1LYQ_A, 0.4853, 0.0061
1M56_C, 1.8040, 0.0493
1M7Y_A, 2.6562, 0.0426
1MG7_A, 2.2042, 0.0182
1MKZ_A, 0.7826, 0.0317
1MPR_A, 2.0634, 0.0094
1MZP_A, 1.2959, 0.0061
1N0F_B, 0.7943, 0.0094
1N97_A, 1.9154, 0.0100
1NAR_A, 1.4359, 0.0053
1NEP_A, 0.5639, 0.0089
1NLX_J, 0.4965, 0.0089
1NN5_A, 1.0322, 0.0067
1NOU_B, 2.7319, 0.0886
1NUB_A, 1.4243, 0.0384
1NX8_A, 1.2787, 0.0134
1O5E_L, 0.7366, 0.0087
1O6O_D, 0.0363, 0.0011
1OBB_A, 2.7078, 0.0406
1OCS_A, 0.7545, 0.0172
1ODL_B, 1.0556, 0.0055
1OFU_X, 0.5665, 0.0053
1OJ5_A, 0.5261, 0.0077
1OK7_B, 2.2578, 0.0560
1OKC_A, 1.3393, 0.0357
1P0Z_H, 0.6333, 0.0107
1PJU_A, 0.6074, 0.0061
1PL7_A, 1.8372, 0.0181
1POC_A, 0.6881, 0.0060
1PP0_A, 0.9141, 0.0037
1Q23_H, 1.1280, 0.0134
1Q33_A, 1.7605, 0.0533
1Q8I_A, 5.2594, 0.0429
1QFG_A, 4.3182, 0.0253
1QHH_C, 0.6407, 0.0211
1QUS_A, 1.7329, 0.0169
1R7A_A, 3.0863, 0.0161
1RFS_A, 0.5884, 0.0109
1RGX_A, 0.7817, 0.0217
1RJ2_A, 2.1195, 0.0467
1RLO_C, 1.3629, 0.0542
1RO5_A, 1.0597, 0.0145
1RWI_A, 1.0284, 0.0050
1RXQ_A, 0.8996, 0.0027
1RZ4_A, 1.0844, 0.0067
1S1D_A, 1.4121, 0.0141
1S2V_B, 1.6571, 0.0398
1S2Z_A, 1.1717, 0.0116
1S3S_G, 0.6845, 0.0127
1S4E_F, 1.6255, 0.0030
1S70_B, 2.4181, 0.0463
1S99_A, 0.9503, 0.0335
1SEZ_A, 2.5021, 0.0739
1SFP_A, 0.4436, 0.0075
1SIO_A, 1.4160, 0.0091
1SQ0_B, 1.4001, 0.0171
1STZ_A, 1.9335, 0.0135
1T2O_C, 0.8247, 0.0065
1T3W_A, 1.0623, 0.0113
1T6P_B, 5.5581, 0.0503
1TE5_A, 1.3541, 0.0359
1TFH_A, 1.3317, 0.0087
1TH1_A, 3.1083, 0.0542
1TIE_A, 0.6933, 0.0214
1TKK_C, 1.6378, 0.0028
1TMO_A, 6.8755, 0.1199
1TOA_A, 1.4169, 0.0092
1TR8_A, 0.7568, 0.0190
1TUH_A, 0.6736, 0.0065
1TUL_A, 0.5123, 0.0042
1TX4_A, 0.8993, 0.0114
1U07_A, 0.6252, 0.0824
1U2H_A, 0.4988, 0.0059
1U8G_A, 0.5308, 0.0115
1UAK_A, 1.6036, 0.0328
1UH3_A, 3.6077, 0.1082
1UN1_A, 1.3336, 0.0619
1UZ5_A, 2.5165, 0.0451
1V0E_D, 5.0635, 0.0639
1V4G_B, 2.8146, 0.0737
1V55_P, 1.3785, 0.0074
1V74_B, 0.4612, 0.0026
1V9D_B, 2.2693, 0.0259
1VBV_A, 0.3513, 0.0061
1VJV_A, 2.2406, 0.0374
1VK6_A, 1.3607, 0.0279
1VLY_A, 1.5886, 0.0066
1VQ8_A, 1.3833, 0.0116
1VQR_A, 1.4987, 0.0088
1VQT_A, 0.8653, 0.0087
1VSG_A, 2.4655, 0.0450
1VYK_A, 0.6340, 0.0188
1W13_U, 1.2211, 0.0157
1W20_A, 2.1366, 0.0078
1W33_A, 1.5498, 0.0279
1W53_A, 0.5408, 0.0047
1W8S_E, 1.0566, 0.0067
1W94_A, 0.8042, 0.0077
1W98_B, 1.4470, 0.0124
1WA3_A, 0.8079, 0.0038
1WK9_A, 0.6878, 0.0035
1WMH_A, 0.4349, 0.0081
1WMH_B, 0.4123, 0.0045
1WOC_A, 0.5745, 0.0095
1WR6_C, 0.5898, 0.0054
1WSU_C, 0.3997, 0.0041
1WYU_H, 3.0979, 0.0637
1X7D_A, 1.7395, 0.0087
1X91_A, 0.8093, 0.0085
1XD3_A, 1.2505, 0.0066
1XHX_C, 3.9088, 0.0486
1XJV_A, 1.6322, 0.0655
1XKR_A, 1.0686, 0.0034
1XKU_A, 1.5829, 0.0025
1XMK_A, 0.4675, 0.0058
1XNI_E, 0.6302, 0.0136
1XS6_D, 1.0348, 0.0061
1Y14_A, 0.8229, 0.0115
1Y8O_B, 0.4701, 0.0102
1YHQ_I, 0.4010, 0.0048
1YKB_E, 0.6920, 0.0051
1YKD_A, 2.5128, 0.0439
1YSL_A, 1.8931, 0.0661
1YT3_A, 2.1901, 0.0509
1YZH_A, 1.0308, 0.0377
1Z21_A, 0.5206, 0.0065
1ZJC_A, 2.3167, 0.0198
1ZM8_A, 1.0336, 0.0052
1ZR6_A, 2.1856, 0.0800
1ZSQ_A, 3.1336, 0.0556
1ZY9_A, 2.8706, 0.1264
20GS_A, 0.9608, 0.0084
2A68_O, 0.6025, 0.0059
2A90_A, 0.7879, 0.0052
2AN1_A, 1.7693, 0.0397
2APC_A, 1.9216, 0.0101
2AR0_A, 3.4310, 0.0613
2ARZ_A, 1.2316, 0.0359
2AU3_A, 2.4455, 0.0548
2B2A_A, 1.0032, 0.0266
2B35_E, 1.2475, 0.0058
2B5I_D, 0.7335, 0.0145
2BC4_A, 1.2882, 0.0068
2BE5_C, 12.5097, 0.0653
2BH1_X, 0.3364, 0.0061
2BIW_A, 2.5767, 0.0144
2BK9_A, 0.8921, 0.0067
2BKJ_A, 1.2906, 0.0073
2BKR_A, 1.0996, 0.0058
2BL8_A, 0.5957, 0.0060
2BOJ_C, 0.5082, 0.0083
2BOL_A, 1.9155, 0.0443
2BPS_A, 0.3416, 0.0133
2BRF_A, 0.4631, 0.0027
2C1I_A, 2.6349, 0.0399
2C1L_A, 1.9705, 0.0465
2C27_A, 1.6130, 0.0422
2C3F_A, 2.8703, 0.0801
2C91_I, 1.5790, 0.0109
2CAY_A, 0.6572, 0.0098
2CC3_A, 0.8897, 0.0015
2CDY_C, 0.9766, 0.0105
2CH7_A, 3.3582, 0.0583
2CHN_B, 5.1565, 0.1064
2CIU_A, 0.8607, 0.0287
2CKX_A, 0.4331, 0.0064
2CLB_A, 1.0338, 0.0075
2CN2_B, 4.2114, 0.0464
2CO5_A, 0.5061, 0.0208
2CO6_A, 0.6022, 0.0047
2CX0_A, 0.8643, 0.0052
2CZR_A, 1.2887, 0.0087
2D3Y_A, 0.9626, 0.0031
2D5W_A, 3.6754, 0.0517
2D81_A, 1.2240, 0.0405
2D9Q_B, 2.5936, 0.0426
2D9R_A, 0.3745, 0.0105
2DLA_A, 1.3737, 0.0113
2E24_A, 4.1571, 0.0633
2E2M_J, 1.3846, 0.0321
2E2O_A, 1.5702, 0.0086
2E3H_A, 0.4322, 0.0089
2E4P_B, 0.5461, 0.0079
2E7S_G, 1.4790, 0.0391
2E7Y_A, 1.6772, 0.0454
2EI9_A, 1.0526, 0.0060
2EIJ_E, 0.5964, 0.0031
2EIJ_H, 0.4975, 0.0047
2EYU_A, 1.4262, 0.0129
2F29_B, 1.5834, 0.0346
2F2L_A, 0.7394, 0.0041
2F51_A, 0.4459, 0.0024
2F5G_A, 0.7996, 0.0213
2F6H_X, 2.5746, 0.0584
2FA1_A, 0.8055, 0.0254
2FIA_A, 0.8108, 0.0409
2FJC_F, 0.7637, 0.0817
2FKG_A, 2.4639, 0.0420
2FKN_B, 2.6090, 0.0180
2FTX_A, 0.5001, 0.0152
2FU4_A, 0.3789, 0.0023
2FUR_A, 1.1573, 0.0170
2G0B_A, 0.8439, 0.0031
2G0D_A, 2.4740, 0.0177
2G38_A, 0.4434, 0.0098
2G3N_D, 5.1382, 0.0967
2GC7_B, 0.6183, 0.0161
2GEY_A, 1.0471, 0.0157
2GGO_A, 1.9585, 0.0050
2GLF_A, 2.7147, 0.0526
2GMF_A, 0.6435, 0.0174
2GP4_A, 3.1517, 0.0502
2GPJ_A, 1.2212, 0.0435
2H0R_C, 1.1266, 0.0089
2H2W_A, 1.6173, 0.0174
2H6N_B, 1.3340, 0.0127
2HBW_A, 1.0733, 0.0036
2HCF_A, 0.9693, 0.0068
2HD5_A, 1.8375, 0.0092
2HJE_A, 1.1690, 0.0017
2HLD_H, 0.6352, 0.0067
2HPS_A, 0.7768, 0.0078
2HQ6_A, 0.7938, 0.0020
2HQL_A, 0.8059, 0.0140
2HS5_A, 1.0706, 0.0081
2HSN_A, 1.3503, 0.0135
2HTI_A, 0.6861, 0.0114
2HYI_B, 0.5173, 0.0072
2HYJ_A, 0.8396, 0.0029
2I0Z_A, 2.0390, 0.0539
2I5B_A, 1.1435, 0.0406
2IEG_B, 5.8095, 0.0707
2IEL_A, 0.6569, 0.0147
2IHR_1, 2.7959, 0.0635
2IJE_S, 1.3910, 0.0414
2IN5_A, 1.1386, 0.0050
2IOJ_A, 0.5293, 0.0073
2IP6_A, 0.3956, 0.0075
2IQX_B, 0.7382, 0.0035
2IXC_A, 1.0322, 0.0095
2IZZ_A, 1.3655, 0.0059
2J1R_B, 0.5450, 0.0062
2J5U_A, 1.3244, 0.0093
2J72_A, 0.5064, 0.0065
2J7N_A, 8.3345, 0.0603
2J9L_A, 1.0222, 0.0267
2JJQ_A, 2.1468, 0.0168
2JKP_B, 4.3796, 0.0900
2JKR_A, 5.6440, 0.0798
2NNW_D, 1.1861, 0.0012
2NPT_D, 0.5225, 0.0051
2NRU_D, 1.7676, 0.0186
2NSM_A, 1.9909, 0.0040
2NTQ_B, 1.9056, 0.0399
2NWB_A, 2.0939, 0.0123
2NWH_A, 1.4855, 0.0142
2O2X_A, 0.9886, 0.0104
2O5H_A, 0.7017, 0.0074
2O8B_B, 8.7314, 0.1907
2O8Q_A, 0.7850, 0.0095
2OAJ_A, 7.9533, 0.0887
2OIT_A, 2.6992, 0.0482
2OKX_A, 7.4414, 0.0867
2OLN_A, 1.8978, 0.0653
2OPK_A, 0.5889, 0.0039
2OPW_A, 1.3196, 0.0065
2OU3_A, 0.9021, 0.0046
2OZE_A, 1.4940, 0.0114
2P4G_A, 1.3723, 0.0024
2PJS_A, 0.5591, 0.0039
2PKL_A, 1.3473, 0.0151
2PL2_A, 1.0373, 0.0089
2POR_A, 1.5340, 0.0103
2PU8_B, 1.8611, 0.0043
2PY2_A, 0.5687, 0.0073
2PYX_A, 2.8850, 0.0487
2Q1W_A, 1.3946, 0.0486
2Q2B_A, 0.7583, 0.0060
2QGA_B, 3.2458, 0.0575
2QHP_A, 1.2562, 0.0547
2QKE_D, 0.5675, 0.0102
2QKV_A, 0.4791, 0.0051
2QMH_D, 1.2339, 0.0053
2QMI_A, 2.3310, 0.0648
2QN6_B, 0.4213, 0.0049
2QNL_A, 0.8433, 0.0248
2QNR_A, 1.3851, 0.0062
2QQD_H, 0.6761, 0.0067
2QRW_H, 0.6471, 0.0119
2QSW_A, 0.4528, 0.0050
2QU8_A, 1.0104, 0.0047
2QVW_A, 6.8832, 0.0844
2R00_A, 1.5267, 0.0073
2R44_A, 2.2001, 0.0529
2R78_A, 0.5938, 0.0139
2RF0_D, 0.2779, 0.0045
2RFF_A, 0.6117, 0.0085
2RG4_A, 1.3408, 0.0138
2RR1_3, 1.8945, 0.0322
2UX8_C, 1.4765, 0.0567
2V0W_A, 0.7054, 0.0073
2V7Q_A, 2.8549, 0.0562
2V8S_E, 0.7469, 0.0163
2VBK_A, 3.1775, 0.0831
2VCH_A, 2.4634, 0.0076
2VFK_A, 1.1795, 0.0035
2VLT_B, 0.4466, 0.0053
2VPA_A, 1.5080, 0.0351
2VQ5_A, 1.0730, 0.0196
2VQC_A, 0.3678, 0.0061
2VQE_C, 1.3913, 0.0090
2VT8_A, 0.6316, 0.0034
2VW9_A, 0.7685, 0.0103
2VXG_A, 0.6748, 0.0066
2W18_A, 1.4445, 0.0092
2W1K_A, 0.9576, 0.0053
2W2P_A, 1.2990, 0.0053
2W5P_A, 0.6483, 0.0084
2W81_C, 1.2251, 0.0048
2WB0_X, 2.1747, 0.0312
2WCI_B, 0.6812, 0.0325
2WD5_B, 1.1561, 0.0090
2WFA_A, 1.0630, 0.0034
2WGS_J, 2.8482, 0.0579
2WIY_A, 2.2439, 0.0541
2WUX_A, 1.5167, 0.0412
2X06_D, 1.7897, 0.0071
2X18_G, 0.7146, 0.0106
2X3G_A, 0.6724, 0.0103
2X3M_A, 0.9411, 0.0063
2X6W_A, 3.1129, 0.0750
2XE4_A, 4.8343, 0.0338
2XGP_B, 3.6800, 0.0247
2XKB_B, 2.8245, 0.0423
2XN1_B, 7.2006, 0.0978
2XO8_A, 6.0414, 0.0264
2XPI_B, 0.3013, 0.0037
2XRC_B, 3.3383, 0.0420
2XSE_A, 0.8734, 0.0272
2XTS_B, 1.6470, 0.0367
2XXP_A, 1.9116, 0.0751
2Y0N_A, 1.0865, 0.0089
2Y4S_A, 6.5599, 0.0604
2Y6X_A, 0.5637, 0.0136
2Y8N_B, 0.4398, 0.0075
2Y9X_B, 2.4939, 0.0777
2YAD_A, 0.3545, 0.0066
2YG2_A, 0.7631, 0.0058
2YJG_A, 1.8965, 0.0102
2YML_B, 1.0487, 0.0071
2YN5_A, 1.6347, 0.0401
2YT4_A, 1.0588, 0.0401
2YVL_B, 1.4765, 0.0110
2YVS_A, 1.1865, 0.0113
2YWL_A, 0.8113, 0.0060
2YXH_A, 0.7522, 0.0145
2Z86_B, 4.0802, 0.0791
2Z9Y_A, 1.1482, 0.0380
2ZJR_J, 1.0142, 0.0049
2ZOU_A, 0.6453, 0.0047
2ZPX_A, 0.7834, 0.0045
3A0O_A, 5.4346, 0.0705
3A0S_A, 0.5225, 0.0195
3A1J_B, 1.6962, 0.0183
3A1J_C, 1.4967, 0.0096
3A6P_A, 11.4486, 0.0420
3A72_A, 1.6895, 0.0150
3ACH_A, 0.8185, 0.0052
3AHD_A, 5.7995, 0.0516
3AIH_A, 0.6319, 0.0160
3AII_A, 2.7385, 0.0453
3AIZ_B, 1.3755, 0.0379
3AKL_D, 1.4937, 0.0074
3ALP_A, 2.3655, 0.0389
3AMI_A, 2.1407, 0.0658
3ANP_A, 1.2001, 0.0061
3AOV_C, 2.4375, 0.0500
3ATR_A, 2.2313, 0.0701
3AXS_A, 1.9957, 0.0470
3B0C_T, 0.5877, 0.0208
3B0P_A, 1.5090, 0.0083
3B9O_A, 2.4152, 0.0679
3B9T_A, 2.0947, 0.0459
3B9X_B, 1.2383, 0.0055
3BB9_A, 0.5750, 0.0073
3BES_R, 1.7864, 0.0240
