pdb, avg_time, std_time
3BF2_A, 0.6179, 0.0199
3BF4_A, 0.6467, 0.0094
3BLE_A, 1.6817, 0.0217
3BPT_A, 2.0423, 0.0627
3BWU_D, 0.6698, 0.0095
3BYQ_A, 0.9014, 0.0101
3C64_A, 1.2619, 0.0099
3C9A_A, 1.2519, 0.0077
3CC2_W, 0.7296, 0.0049
3CE8_A, 0.5986, 0.0056
3CEB_A, 1.2239, 0.0042
3CES_A, 3.6251, 0.0656
3CHU_B, 1.6470, 0.0517
3CK1_A, 0.7318, 0.0100
3CK6_A, 1.4091, 0.0118
3CM8_A, 2.7005, 0.0557
3CP7_A, 0.8400, 0.0282
3CQZ_H, 0.7373, 0.0070
3CTA_A, 1.1876, 0.0109
3CTR_A, 0.5416, 0.0111
3CU2_A, 1.0513, 0.0023
3CUQ_A, 1.3741, 0.0113
3CWF_A, 0.5212, 0.0095
3CWM_A, 2.1906, 0.0095
3CZC_A, 0.4157, 0.0077
3D01_J, 0.7695, 0.0122
3D0R_B, 1.8844, 0.0222
3D1P_A, 0.5537, 0.0048
3D2W_A, 0.3320, 0.0052
3D31_C, 1.6047, 0.0227
3D6I_A, 0.5518, 0.0147
3D7L_A, 0.9244, 0.0103
3DCM_X, 0.9234, 0.0063
3DDJ_A, 1.3083, 0.0051
3DJE_A, 2.2980, 0.0231
3DJM_A, 0.6320, 0.0119
3DML_A, 0.4409, 0.0092
3DR7_D, 2.0949, 0.0117
3DR8_A, 0.8853, 0.0071
3DS8_A, 1.2522, 0.0031
3DSH_A, 1.5112, 0.0154
3DXR_A, 0.5507, 0.0170
3DZL_B, 0.9110, 0.0133
3E38_A, 1.8807, 0.0533
3E3R_A, 1.1284, 0.0019
3E54_A, 0.8596, 0.0060
3E5X_C, 1.1997, 0.0071
3E7Q_A, 1.1709, 0.0181
3E86_B, 0.5952, 0.0063
3EBE_A, 1.0116, 0.0066
3EBY_A, 0.7515, 0.0099
3ECQ_B, 16.3109, 0.0880
3EGE_A, 1.1592, 0.0121
3EHC_A, 0.5711, 0.0012
3EJV_A, 0.9351, 0.0074
3ELS_A, 0.6802, 0.0108
3EMI_A, 0.8576, 0.0230
3EMR_A, 1.4721, 0.0109
3ERW_A, 0.6512, 0.0149
3ESL_A, 1.2497, 0.0124
3EWL_A, 0.7313, 0.0055
3EXQ_A, 0.8525, 0.0073
3EYT_A, 0.7711, 0.0029
3F0H_A, 1.9725, 0.0082
3F1X_A, 1.8899, 0.0414
3F6C_A, 0.5309, 0.0106
3F6J_A, 0.7998, 0.0115
3F79_D, 1.3943, 0.0131
3FA3_I, 1.8008, 0.0035
3FE6_A, 0.5005, 0.0051
3FHV_A, 0.6882, 0.0092
3FKC_A, 0.7835, 0.0104
3FLO_B, 1.2227, 0.0068
3FNJ_C, 0.7024, 0.0063
3FPQ_A, 1.4875, 0.0090
3FQM_A, 0.8440, 0.0040
3FR9_B, 1.0512, 0.0142
3FTT_A, 0.8376, 0.0024
3FX3_B, 1.3864, 0.0048
3FXZ_A, 1.5640, 0.0115
3FZE_A, 1.0822, 0.0098
3G1N_A, 2.2540, 0.0217
3G3S_A, 1.2533, 0.0107
3G5I_D, 1.3893, 0.0089
3G5J_A, 0.7588, 0.0073
3G67_A, 2.8951, 0.0442
3GA5_B, 1.3834, 0.0483
3GI1_B, 1.1685, 0.0056
3GKU_A, 1.8834, 0.0296
3GOH_A, 1.6288, 0.0475
3GQV_A, 1.7572, 0.0095
3GU3_A, 1.5322, 0.0018
3GUU_A, 2.2857, 0.0192
3GW2_A, 0.6347, 0.0101
3GYD_A, 0.9251, 0.0064
3GYR_J, 3.7446, 0.0945
3GZ8_C, 1.0284, 0.0233
3H0L_K, 2.7000, 0.0491
3H36_A, 0.3957, 0.0133
3H76_B, 1.6862, 0.0119
3H8U_A, 0.6183, 0.0058
3H9P_A, 1.2246, 0.0057
3HBC_A, 1.5242, 0.0089
3HBL_D, 10.0857, 0.0690
3HBM_A, 1.6124, 0.0177
3HFI_A, 0.7222, 0.0057
3HGQ_A, 1.8949, 0.0143
3HJ6_A, 1.2796, 0.0071
3HL0_A, 1.7245, 0.0063
3HL6_A, 1.0585, 0.0081
3HM4_A, 0.6890, 0.0030
3HO7_A, 1.3218, 0.0047
3HUG_O, 0.3532, 0.0071
3HUP_A, 0.7048, 0.0084
3HX6_A, 2.6793, 0.0355
3HX8_A, 0.6630, 0.0141
3HXA_E, 0.4269, 0.0034
3HYB_A, 0.9407, 0.0156
3HZ4_A, 0.5683, 0.0041
3I04_P, 4.9436, 0.0654
3I3F_A, 0.5756, 0.0165
3I7K_A, 11.1887, 0.1020
3IAY_A, 7.2623, 0.1077
3IC9_A, 2.7723, 0.0189
3ICY_A, 0.7795, 0.0214
3IE4_A, 0.4702, 0.0081
3IE7_A, 1.6459, 0.0123
3IEK_D, 2.3568, 0.0551
3IMK_A, 0.6424, 0.0232
3IN6_A, 0.8745, 0.0235
3IWP_B, 1.2129, 0.0117
3JQO_A, 1.8216, 0.0310
3JQP_D, 1.5438, 0.0436
3JQW_A, 0.5643, 0.0091
3JS8_A, 3.0450, 0.0830
3JVD_A, 1.1992, 0.0313
3JZ3_A, 0.7624, 0.0051
3K0W_A, 0.9627, 0.0092
3K29_A, 1.3794, 0.0385
3K3S_D, 0.4011, 0.0129
3K6Y_A, 1.1442, 0.0063
3K8P_C, 2.1027, 0.0487
3KDR_A, 1.9594, 0.0201
3KEA_A, 1.7022, 0.0512
3KEB_A, 0.8436, 0.0153
3KF6_B, 0.5577, 0.0091
3KF8_A, 1.3841, 0.0020
3KHK_A, 3.1282, 0.0526
3KIF_D, 0.5996, 0.0093
3KIO_B, 0.9530, 0.0120
3KLL_A, 9.3120, 0.0922
3KMH_A, 1.0783, 0.0101
3KOL_A, 0.9705, 0.0037
3KRM_A, 0.9923, 0.0086
3KT6_B, 2.2567, 0.0457
3KUT_B, 0.3954, 0.0104
3KVC_B, 2.8257, 0.1018
3KVN_A, 3.3290, 0.0248
3KW3_B, 1.9931, 0.0484
3KZH_A, 1.7370, 0.0536
3L09_A, 1.3299, 0.0070
3L22_A, 2.6370, 0.0696
3L4E_A, 0.8321, 0.0263
3L4T_A, 6.6239, 0.1151
3L5K_A, 1.0944, 0.0330
3L6E_B, 1.0291, 0.0089
3L7V_A, 1.3876, 0.0180
3L81_A, 1.6731, 0.0332
3LAH_B, 0.9624, 0.0382
3LAZ_A, 0.6566, 0.0134
3LCC_A, 0.9647, 0.0024
3LDT_A, 0.8703, 0.0048
3LGX_D, 3.0332, 0.0916
3LHI_A, 0.9926, 0.0460
3LIM_D, 0.7283, 0.0126
3LIN_D, 0.6305, 0.0060
3LL3_A, 2.7846, 0.0545
3LMI_C, 1.3582, 0.0433
3LMO_A, 0.5105, 0.0022
3LUA_A, 0.5599, 0.0061
3LUQ_A, 0.5168, 0.0048
3M03_A, 0.4837, 0.0049
3M1E_A, 0.5037, 0.0071
3M32_E, 2.3430, 0.0552
3M7N_G, 1.5132, 0.0472
3MCQ_A, 1.6095, 0.0147
3MDV_B, 2.2831, 0.0721
3ME0_B, 0.8692, 0.0167
3MGD_A, 0.9412, 0.0120
3MJ0_A, 0.6023, 0.0052
3ML4_A, 1.0140, 0.0089
3MPK_A, 1.1491, 0.0063
3MQ1_A, 0.6980, 0.0828
3MQ2_A, 1.1099, 0.0110
3MR7_A, 0.8654, 0.0068
3MSQ_A, 1.1105, 0.0077
3MVK_I, 0.6011, 0.0062
3N3U_A, 1.6464, 0.0155
3N70_A, 0.7346, 0.0091
3N7X_A, 1.7487, 0.0705
3N84_A, 0.6477, 0.0056
3N89_A, 2.1107, 0.0668
3N98_A, 3.3471, 0.0419
3NAR_A, 0.4267, 0.0167
3NBC_A, 0.6669, 0.0104
3NBI_A, 1.3580, 0.0148
3NNE_F, 2.7801, 0.0635
3NNH_B, 0.3798, 0.0106
3NO0_A, 1.3260, 0.0095
3NOH_A, 0.6441, 0.0085
3NQH_A, 2.4051, 0.0713
3NVD_B, 4.9595, 0.0726
3NVQ_A, 4.6870, 0.0345
3NVY_K, 1.5653, 0.0550
3NXA_D, 0.4950, 0.0069
3NZ3_A, 0.7862, 0.0113
3NZN_A, 0.4952, 0.0057
3O0N_A, 3.8241, 0.0536
3O1Q_C, 1.0699, 0.0271
3O26_A, 1.4796, 0.0043
3O2Q_A, 1.7288, 0.0345
3O8H_A, 0.9622, 0.0126
3OE3_A, 0.4693, 0.0079
3OJ0_A, 0.8072, 0.0068
3OKI_A, 1.3192, 0.0059
3OO8_A, 1.8864, 0.0098
3ORJ_A, 2.1844, 0.0502
3OS7_A, 1.7687, 0.0831
3OUG_B, 0.6078, 0.0103
3OV5_A, 0.3901, 0.0032
3P0U_A, 1.7793, 0.0913
3P26_A, 2.8073, 0.0542
3P48_A, 0.8073, 0.0227
3PAN_B, 1.4575, 0.0062
3PE6_A, 1.6875, 0.0099
3PE7_A, 1.9655, 0.0068
3PET_A, 1.0171, 0.0073
3PFO_A, 2.1800, 0.0718
3PFT_A, 0.7878, 0.0240
3PGX_B, 1.1573, 0.0071
3PJV_D, 1.0837, 0.0168
3PL2_A, 1.4189, 0.0080
3PLT_A, 1.4260, 0.0182
3PMI_A, 0.6676, 0.0163
3PND_C, 1.8723, 0.0331
3PNX_A, 0.8606, 0.0051
3PPB_A, 0.9664, 0.0786
3PPL_A, 2.3467, 0.0455
3PRN_A, 1.2607, 0.0320
3PSR_B, 0.5730, 0.0083
3PU6_A, 0.5891, 0.0083
3PUC_A, 0.6150, 0.0091
3PV7_A, 1.3196, 0.0150
