pdb, avg_time, std_time
1A1X_A, 0.5200, 0.0051
1A5T_A, 1.6817, 0.0209
1A96_D, 0.7491, 0.0112
1AM2_A, 0.7492, 0.0072
1AMX_A, 0.6233, 0.0075
1AOC_A, 1.0383, 0.0129
1AVO_B, 0.9936, 0.0136
1B4F_F, 0.3957, 0.0074
1B63_A, 1.8764, 0.0241
1BCP_B, 0.9248, 0.0094
1BJA_A, 0.4673, 0.0071
1BTE_A, 0.4300, 0.0041
1BU3_A, 0.4940, 0.0072
1CFB_A, 0.9968, 0.0008
1CS0_C, 7.2931, 0.1110
1CVJ_F, 0.6378, 0.0057
1D2N_A, 1.3245, 0.0173
1D2P_A, 2.4756, 0.0311
1DD3_A, 0.5893, 0.0128
1DGJ_A, 6.8756, 0.0513
1DYP_A, 1.2076, 0.0358
1E5R_A, 1.3637, 0.0017
1EE0_A, 1.6303, 0.0074
1EJF_A, 0.4745, 0.0065
1EM2_A, 0.9528, 0.0020
1EPA_A, 0.6785, 0.0097
1EUT_A, 3.2582, 0.0289
1F5A_A, 2.8381, 0.0674
1FC5_B, 2.4128, 0.0514
1FKM_A, 1.7132, 0.0607
1FNN_A, 2.1853, 0.0701
1FS0_G, 1.1264, 0.0334
1G2W_A, 1.4745, 0.0111
1G4T_B, 0.8892, 0.0082
1G8Q_A, 0.4191, 0.0060
1GAN_A, 0.5416, 0.0054
1GGE_D, 6.2887, 0.0470
1GL4_A, 1.5230, 0.0219
1GMV_B, 0.5951, 0.0810
1GO3_F, 0.6596, 0.0082
1GQK_B, 4.4373, 0.0814
1GRW_D, 0.5841, 0.0018
1GU2_A, 0.5846, 0.0016
1GVN_A, 0.4818, 0.0816
1GWC_C, 0.9808, 0.0061
1GXK_D, 0.7781, 0.0064
1H21_A, 1.4079, 0.0140
1H30_A, 2.8459, 0.0576
1H4R_B, 1.7669, 0.0082
1H4X_A, 0.4726, 0.0036
1H5K_A, 1.2935, 0.0053
1H6P_B, 1.0294, 0.0022
1HF8_A, 1.4169, 0.0104
1HW1_A, 1.1932, 0.0036
1HZX_A, 1.9572, 0.0204
1I24_A, 1.9448, 0.0166
1I2K_A, 1.2843, 0.0142
1I8L_D, 0.4769, 0.0042
1II0_B, 3.3243, 0.0556
