pdb, avg_time, std_time
1IK4_E, 0.7249, 0.0059
1IO8_A, 1.7371, 0.0107
1IOO_A, 0.8981, 0.0069
1IQ8_A, 3.5428, 0.0535
1IQV_A, 0.8033, 0.0146
1IUW_A, 2.1356, 0.0096
1IXC_A, 1.7139, 0.0167
1J0W_A, 0.4005, 0.0049
1J22_A, 0.5970, 0.0045
1JDE_A, 5.8291, 0.0243
1JEQ_A, 4.6795, 0.0209
1JHS_A, 0.8635, 0.0097
1JID_A, 0.6079, 0.0091
1JKV_D, 1.7078, 0.0365
1JOA_A, 2.0178, 0.0137
1JQJ_D, 2.1378, 0.0153
1K3D_A, 3.0490, 0.0186
1K66_A, 0.6662, 0.0034
1K6M_A, 2.1575, 0.0094
1K7C_A, 0.8863, 0.0068
1KCF_A, 1.2181, 0.0040
1KF6_C, 1.1358, 0.0193
1KI1_B, 2.4345, 0.0311
1KLF_P, 2.0445, 0.0406
1KOE_A, 0.7726, 0.0102
1KRF_B, 2.2160, 0.0227
1KU8_G, 0.4951, 0.0036
1L4U_A, 0.6862, 0.0062
1L8L_A, 1.1244, 0.0015
1LBA_A, 0.5619, 0.0066
1LFP_A, 1.0936, 0.0048
1LPB_A, 0.4335, 0.0062
1LTS_A, 0.8039, 0.0027
1LU4_A, 0.4714, 0.0024
1LVM_A, 1.1158, 0.0119
1LYN_B, 0.5606, 0.0084
1LYQ_A, 0.4306, 0.0064
1M56_C, 1.7029, 0.0191
1M7Y_A, 2.5626, 0.0557
1MG7_A, 2.1493, 0.0194
1MKZ_A, 0.7201, 0.0022
1MPR_A, 1.8955, 0.0133
1MZP_A, 1.1693, 0.0019
1N0F_B, 0.7075, 0.0084
1N97_A, 1.7577, 0.0153
1NAR_A, 1.3097, 0.0119
1NEP_A, 0.4924, 0.0092
1NLX_J, 0.4399, 0.0060
1NN5_A, 0.9139, 0.0042
1NOU_B, 2.6028, 0.0112
1NUB_A, 1.2901, 0.0093
1NX8_A, 1.1725, 0.0026
1O5E_L, 0.6542, 0.0107
1O6O_D, 0.0334, 0.0016
1OBB_A, 2.6220, 0.0170
1OCS_A, 0.6945, 0.0092
1ODL_B, 0.9619, 0.0019
1OFU_X, 0.5009, 0.0076
1OJ5_A, 0.4575, 0.0059
1OK7_B, 2.1647, 0.0145
1OKC_A, 1.2430, 0.0273
1P0Z_H, 0.5719, 0.0015
1PJU_A, 0.5307, 0.0076
1PL7_A, 1.6687, 0.0115
1POC_A, 0.6188, 0.0067
1PP0_A, 0.8279, 0.0097
1Q23_H, 1.0102, 0.0074
1Q33_A, 1.6457, 0.0172
1Q8I_A, 4.8688, 0.0792
1QFG_A, 4.0380, 0.0817
1QHH_C, 0.5661, 0.0194
1QUS_A, 1.5418, 0.0178
1R7A_A, 3.0144, 0.0176
1RFS_A, 0.5307, 0.0060
1RGX_A, 0.6566, 0.0147
1RJ2_A, 1.9512, 0.0427
1RLO_C, 1.2744, 0.0399
1RO5_A, 0.9584, 0.0044
1RWI_A, 0.9284, 0.0072
1RXQ_A, 0.8156, 0.0028
1RZ4_A, 0.9780, 0.0037
1S1D_A, 1.2993, 0.0077
1S2V_B, 1.5320, 0.0043
1S2Z_A, 1.0362, 0.0127
1S3S_G, 0.5914, 0.0071
1S4E_F, 1.4849, 0.0148
1S70_B, 2.1308, 0.0448
1S99_A, 0.8632, 0.0199
1SEZ_A, 2.3253, 0.0291
1SFP_A, 0.4126, 0.0060
1SIO_A, 1.2723, 0.0118
1SQ0_B, 1.2599, 0.0101
1STZ_A, 1.7444, 0.0131
1T2O_C, 0.7395, 0.0044
1T3W_A, 0.9117, 0.0144
1T6P_B, 5.0664, 0.0728
1TE5_A, 1.2551, 0.0391
1TFH_A, 1.1744, 0.0156
1TH1_A, 2.7761, 0.0784
1TIE_A, 0.6418, 0.0055
1TKK_C, 1.5148, 0.0103
1TMO_A, 6.6247, 0.0401
1TOA_A, 1.2574, 0.0458
1TR8_A, 0.6512, 0.0079
1TUH_A, 0.5959, 0.0095
1TUL_A, 0.4607, 0.0067
1TX4_A, 0.8004, 0.0021
1U07_A, 0.5079, 0.0100
1U2H_A, 0.4867, 0.0801
1U8G_A, 0.4625, 0.0078
1UAK_A, 1.4637, 0.0144
1UH3_A, 3.3982, 0.0259
1UN1_A, 1.2195, 0.0425
1UZ5_A, 2.2886, 0.0534
1V0E_D, 4.5846, 0.1145
1V4G_B, 2.7332, 0.0157
1V55_P, 1.2579, 0.0090
1V74_B, 0.4018, 0.0057
1V9D_B, 2.0055, 0.0365
1VBV_A, 0.3184, 0.0063
1VJV_A, 2.1428, 0.0205
1VK6_A, 1.2385, 0.0126
1VLY_A, 1.4384, 0.0103
1VQ8_A, 1.2214, 0.0039
1VQR_A, 1.3622, 0.0050
1VQT_A, 0.7876, 0.0029
1VSG_A, 2.2301, 0.0494
1VYK_A, 0.5780, 0.0181
1W13_U, 1.1596, 0.0762
1W20_A, 1.9924, 0.0049
1W33_A, 1.3921, 0.0144
1W53_A, 0.4691, 0.0052
1W8S_E, 0.9456, 0.0092
1W94_A, 0.7124, 0.0101
1W98_B, 1.3273, 0.0103
1WA3_A, 0.7320, 0.0021
1WK9_A, 0.6164, 0.0025
1WMH_A, 0.3884, 0.0072
1WMH_B, 0.3674, 0.0087
1WOC_A, 0.5050, 0.0052
1WR6_C, 0.5069, 0.0055
1WSU_C, 0.3579, 0.0035
1WYU_H, 2.8149, 0.0445
1X7D_A, 1.5620, 0.0133
1X91_A, 0.7055, 0.0126
1XD3_A, 1.1571, 0.0078
1XHX_C, 3.7686, 0.0166
1XJV_A, 1.5181, 0.0037
1XKR_A, 0.9766, 0.0040
1XKU_A, 1.4375, 0.0121
1XMK_A, 0.4027, 0.0043
1XNI_E, 0.5541, 0.0060
1XS6_D, 0.9208, 0.0099
1Y14_A, 0.7239, 0.0037
1Y8O_B, 0.4152, 0.0021
1YHQ_I, 0.3522, 0.0037
1YKB_E, 0.6259, 0.0040
1YKD_A, 2.2619, 0.0688
1YSL_A, 1.8168, 0.0310
1YT3_A, 2.0733, 0.0150
1YZH_A, 0.9423, 0.0083
1Z21_A, 0.4458, 0.0069
1ZJC_A, 2.1763, 0.0160
1ZM8_A, 0.9452, 0.0070
1ZR6_A, 2.0605, 0.0126
1ZSQ_A, 2.9862, 0.1077
1ZY9_A, 2.7450, 0.0393
20GS_A, 0.8889, 0.0053
2A68_O, 0.5305, 0.0088
2A90_A, 0.7028, 0.0079
2AN1_A, 1.5945, 0.0172
2APC_A, 1.7592, 0.0088
2AR0_A, 3.1548, 0.0527
2ARZ_A, 1.1299, 0.0284
2AU3_A, 2.3441, 0.1159
2B2A_A, 0.8964, 0.0128
2B35_E, 1.1302, 0.0059
2B5I_D, 0.6387, 0.0086
2BC4_A, 1.1476, 0.0106
2BE5_C, 11.5808, 0.1263
2BH1_X, 0.2974, 0.0044
2BIW_A, 2.4494, 0.0066
2BK9_A, 0.8215, 0.0042
2BKJ_A, 1.1579, 0.0100
2BKR_A, 0.9925, 0.0109
2BL8_A, 0.5267, 0.0044
2BOJ_C, 0.4370, 0.0055
2BOL_A, 1.7869, 0.0174
2BPS_A, 0.3147, 0.0032
2BRF_A, 0.4139, 0.0077
2C1I_A, 2.3653, 0.0495
2C1L_A, 1.9073, 0.0276
2C27_A, 1.4458, 0.0161
2C3F_A, 2.4778, 0.0427
2C91_I, 1.4596, 0.0121
2CAY_A, 0.6249, 0.0907
2CC3_A, 0.7832, 0.0086
2CDY_C, 0.8769, 0.0085
2CH7_A, 2.8785, 0.0313
2CHN_B, 4.8114, 0.0377
2CIU_A, 0.7810, 0.0095
2CKX_A, 0.3846, 0.0077
2CLB_A, 0.9074, 0.0073
2CN2_B, 3.9846, 0.0760
2CO5_A, 0.4504, 0.0103
2CO6_A, 0.5326, 0.0065
2CX0_A, 0.7750, 0.0104
2CZR_A, 1.1486, 0.0032
2D3Y_A, 0.8803, 0.0101
2D5W_A, 3.5168, 0.1130
2D81_A, 1.1485, 0.0061
2D9Q_B, 2.2560, 0.0446
2D9R_A, 0.3453, 0.0125
2DLA_A, 1.2226, 0.0076
2E24_A, 3.9169, 0.0417
2E2M_J, 1.2438, 0.0040
2E2O_A, 1.4237, 0.0028
2E3H_A, 0.3738, 0.0065
2E4P_B, 0.4842, 0.0070
2E7S_G, 1.2527, 0.0286
2E7Y_A, 1.5908, 0.0015
2EI9_A, 0.9532, 0.0026
2EIJ_E, 0.5273, 0.0066
2EIJ_H, 0.4400, 0.0084
2EYU_A, 1.2973, 0.0102
2F29_B, 1.4416, 0.0136
2F2L_A, 0.6627, 0.0050
2F51_A, 0.4056, 0.0035
2F5G_A, 0.7086, 0.0083
2F6H_X, 2.4129, 0.0240
2FA1_A, 0.7502, 0.0078
2FIA_A, 0.7108, 0.0053
2FJC_F, 0.6404, 0.0118
2FKG_A, 2.2874, 0.0419
2FKN_B, 2.5379, 0.0807
2FTX_A, 0.4440, 0.0027
2FU4_A, 0.3337, 0.0043
2FUR_A, 1.0018, 0.0193
2G0B_A, 0.7659, 0.0091
2G0D_A, 2.3484, 0.0146
2G38_A, 0.4080, 0.0054
2G3N_D, 4.7840, 0.0248
2GC7_B, 0.5552, 0.0084
2GEY_A, 0.9116, 0.0140
2GGO_A, 1.8130, 0.0051
2GLF_A, 2.6140, 0.0187
2GMF_A, 0.5794, 0.0022
2GP4_A, 3.0147, 0.1002
2GPJ_A, 1.1394, 0.0085
2H0R_C, 1.0298, 0.0033
2H2W_A, 1.4870, 0.0123
2H6N_B, 1.2203, 0.0106
2HBW_A, 0.9697, 0.0030
2HCF_A, 0.8789, 0.0026
2HD5_A, 1.6952, 0.0012
2HJE_A, 1.0686, 0.0132
2HLD_H, 0.5570, 0.0049
2HPS_A, 0.7020, 0.0054
2HQ6_A, 0.7155, 0.0074
2HQL_A, 0.6983, 0.0085
2HS5_A, 0.9583, 0.0085
2HSN_A, 1.1624, 0.0144
2HTI_A, 0.5953, 0.0093
2HYI_B, 0.4483, 0.0070
2HYJ_A, 0.7541, 0.0030
2I0Z_A, 1.9366, 0.0056
2I5B_A, 1.0929, 0.0131
2IEG_B, 5.5718, 0.0685
2IEL_A, 0.5789, 0.0196
2IHR_1, 2.4945, 0.0378
2IJE_S, 1.2628, 0.0016
2IN5_A, 1.0402, 0.0023
2IOJ_A, 0.4701, 0.0054
2IP6_A, 0.3475, 0.0025
2IQX_B, 0.6739, 0.0036
2IXC_A, 0.9275, 0.0109
2IZZ_A, 1.2247, 0.0068
2J1R_B, 0.4876, 0.0070
2J5U_A, 1.1865, 0.0135
2J72_A, 0.4503, 0.0050
2J7N_A, 7.8730, 0.1109
2J9L_A, 0.9197, 0.0108
2JJQ_A, 1.9905, 0.0033
2JKP_B, 4.1645, 0.0594
2JKR_A, 4.9174, 0.0742
2NNW_D, 1.0625, 0.0206
2NPT_D, 0.4552, 0.0080
2NRU_D, 1.6185, 0.0118
2NSM_A, 1.8253, 0.0147
2NTQ_B, 1.7641, 0.0059
2NWB_A, 1.9358, 0.0093
2NWH_A, 1.3599, 0.0029
2O2X_A, 0.8959, 0.0083
2O5H_A, 0.6264, 0.0059
2O8B_B, 8.1324, 0.2200
2O8Q_A, 0.6949, 0.0080
2OAJ_A, 7.3481, 0.0945
2OIT_A, 2.6262, 0.0122
2OKX_A, 7.0762, 0.1589
2OLN_A, 1.8212, 0.0148
2OPK_A, 0.5135, 0.0057
2OPW_A, 1.1966, 0.0135
2OU3_A, 0.7986, 0.0015
2OZE_A, 1.3700, 0.0083
2P4G_A, 1.2551, 0.0109
2PJS_A, 0.5004, 0.0050
2PKL_A, 1.2174, 0.0088
2PL2_A, 0.9285, 0.0097
2POR_A, 1.4257, 0.0091
2PU8_B, 1.7154, 0.0049
2PY2_A, 0.5055, 0.0064
2PYX_A, 2.7711, 0.0191
2Q1W_A, 1.3112, 0.0126
2Q2B_A, 0.6804, 0.0069
2QGA_B, 3.0008, 0.0606
2QHP_A, 1.1915, 0.0453
2QKE_D, 0.5100, 0.0062
2QKV_A, 0.4183, 0.0097
2QMH_D, 1.0886, 0.0088
2QMI_A, 2.2387, 0.0160
2QN6_B, 0.3884, 0.0098
2QNL_A, 0.7585, 0.0084
2QNR_A, 1.2533, 0.0016
2QQD_H, 0.5904, 0.0084
2QRW_H, 0.5752, 0.0052
2QSW_A, 0.4052, 0.0033
2QU8_A, 0.8906, 0.0119
2QVW_A, 6.3306, 0.1164
2R00_A, 1.3859, 0.0082
2R44_A, 2.0532, 0.0280
2R78_A, 0.5592, 0.0110
2RF0_D, 0.2442, 0.0024
2RFF_A, 0.5338, 0.0085
2RG4_A, 1.2024, 0.0107
2RR1_3, 1.6869, 0.0368
2UX8_C, 1.3816, 0.0165
2V0W_A, 0.6321, 0.0058
2V7Q_A, 2.7027, 0.0808
2V8S_E, 0.6861, 0.0067
2VBK_A, 2.7795, 0.0567
2VCH_A, 2.4190, 0.0305
2VFK_A, 1.0712, 0.0021
2VLT_B, 0.4003, 0.0044
2VPA_A, 1.3549, 0.0160
2VQ5_A, 0.9705, 0.0095
2VQC_A, 0.3274, 0.0018
2VQE_C, 1.2440, 0.0191
2VT8_A, 0.5661, 0.0016
2VW9_A, 0.6688, 0.0092
2VXG_A, 0.5989, 0.0074
2W18_A, 1.3037, 0.0139
2W1K_A, 0.8794, 0.0040
2W2P_A, 1.1807, 0.0102
2W5P_A, 0.5746, 0.0080
2W81_C, 1.0971, 0.0010
2WB0_X, 1.9355, 0.0553
2WCI_B, 0.5954, 0.0109
2WD5_B, 1.0346, 0.0124
2WFA_A, 0.9416, 0.0124
2WGS_J, 2.6522, 0.0854
2WIY_A, 2.1008, 0.0559
2WUX_A, 1.3918, 0.0116
2X06_D, 1.6172, 0.0120
2X18_G, 0.6368, 0.0096
2X3G_A, 0.5919, 0.0063
2X3M_A, 0.8292, 0.0086
2X6W_A, 2.7985, 0.0477
2XE4_A, 4.5785, 0.0889
2XGP_B, 3.3648, 0.0574
2XKB_B, 2.5723, 0.0532
2XN1_B, 6.9308, 0.1542
2XO8_A, 5.5491, 0.0773
2XPI_B, 0.2677, 0.0033
2XRC_B, 3.2088, 0.0163
2XSE_A, 0.8234, 0.0201
2XTS_B, 1.4600, 0.0349
2XXP_A, 1.8396, 0.0121
2Y0N_A, 0.9671, 0.0089
2Y4S_A, 6.1471, 0.1244
2Y6X_A, 0.4926, 0.0032
2Y8N_B, 0.3853, 0.0044
2Y9X_B, 2.3514, 0.0090
2YAD_A, 0.3062, 0.0049
2YG2_A, 0.6783, 0.0050
2YJG_A, 1.7374, 0.0130
2YML_B, 0.9475, 0.0078
2YN5_A, 1.4467, 0.0187
2YT4_A, 0.9755, 0.0318
2YVL_B, 1.2964, 0.0144
2YVS_A, 1.0722, 0.0060
2YWL_A, 0.7271, 0.0023
2YXH_A, 0.6518, 0.0083
2Z86_B, 3.7902, 0.0652
2Z9Y_A, 1.0535, 0.0276
2ZJR_J, 0.8915, 0.0166
2ZOU_A, 0.5788, 0.0059
2ZPX_A, 0.6795, 0.0051
3A0O_A, 5.0674, 0.1039
3A0S_A, 0.4640, 0.0040
3A1J_B, 1.5262, 0.0156
3A1J_C, 1.3407, 0.0140
3A6P_A, 10.6125, 0.1313
3A72_A, 1.5360, 0.0150
3ACH_A, 0.7429, 0.0089
3AHD_A, 5.5396, 0.0457
3AIH_A, 0.5857, 0.0078
3AII_A, 2.6027, 0.0179
3AIZ_B, 1.2556, 0.0027
3AKL_D, 1.3455, 0.0034
3ALP_A, 2.0382, 0.0354
3AMI_A, 2.0036, 0.0711
3ANP_A, 1.0682, 0.0043
3AOV_C, 2.2969, 0.0826
3ATR_A, 2.1129, 0.0662
3AXS_A, 1.9338, 0.0022
3B0C_T, 0.5279, 0.0047
3B0P_A, 1.4060, 0.0032
3B9O_A, 2.2981, 0.0230
3B9T_A, 1.9917, 0.0128
3B9X_B, 1.1490, 0.0021
3BB9_A, 0.5050, 0.0056
3BES_R, 1.5482, 0.0218
3BF2_A, 0.5579, 0.0089
3BF4_A, 0.5669, 0.0035
3BLE_A, 1.5255, 0.0137
3BPT_A, 1.9473, 0.0081
3BWU_D, 0.5985, 0.0116
3BYQ_A, 0.8084, 0.0120
3C64_A, 1.1005, 0.0087
3C9A_A, 1.1213, 0.0083
3CC2_W, 0.6527, 0.0053
3CE8_A, 0.5207, 0.0065
3CEB_A, 1.1024, 0.0100
3CES_A, 3.3951, 0.0770
3CHU_B, 1.5248, 0.0084
3CK1_A, 0.6316, 0.0054
3CK6_A, 1.2598, 0.0135
3CM8_A, 2.4978, 0.0750
3CP7_A, 0.7776, 0.0092
3CQZ_H, 0.6633, 0.0092
3CTA_A, 1.0189, 0.0142
3CTR_A, 0.4700, 0.0065
3CU2_A, 0.9635, 0.0046
3CUQ_A, 1.2324, 0.0045
3CWF_A, 0.4505, 0.0065
3CWM_A, 2.0435, 0.0119
3CZC_A, 0.3679, 0.0040
3D01_J, 0.6848, 0.0074
3D0R_B, 1.7334, 0.0130
3D1P_A, 0.4926, 0.0024
3D2W_A, 0.2883, 0.0020
3D31_C, 1.4577, 0.0160
3D6I_A, 0.5133, 0.0068
3D7L_A, 0.8421, 0.0102
3DCM_X, 0.8195, 0.0107
3DDJ_A, 1.1795, 0.0038
3DJE_A, 2.1360, 0.0164
3DJM_A, 0.5345, 0.0038
3DML_A, 0.3888, 0.0044
3DR7_D, 1.9078, 0.0114
3DR8_A, 0.7735, 0.0044
3DS8_A, 1.1407, 0.0094
3DSH_A, 1.3298, 0.0008
3DXR_A, 0.4846, 0.0108
3DZL_B, 0.8039, 0.0113
3E38_A, 1.7807, 0.0208
3E3R_A, 1.0085, 0.0019
3E54_A, 0.7752, 0.0093
3E5X_C, 1.0787, 0.0144
3E7Q_A, 1.0356, 0.0121
3E86_B, 0.5269, 0.0124
3EBE_A, 0.9095, 0.0094
3EBY_A, 0.6690, 0.0053
3ECQ_B, 15.3996, 0.1591
3EGE_A, 1.0470, 0.0103
3EHC_A, 0.5091, 0.0088
3EJV_A, 0.8164, 0.0087
3ELS_A, 0.6045, 0.0090
3EMI_A, 0.7612, 0.0097
3EMR_A, 1.3593, 0.0099
3ERW_A, 0.5716, 0.0085
3ESL_A, 1.1201, 0.0111
3EWL_A, 0.6595, 0.0032
3EXQ_A, 0.7620, 0.0026
3EYT_A, 0.7034, 0.0077
3F0H_A, 1.8335, 0.0133
3F1X_A, 1.7033, 0.0329
3F6C_A, 0.4960, 0.0036
3F6J_A, 0.7080, 0.0100
3F79_D, 1.2823, 0.0101
3FA3_I, 1.6275, 0.0101
3FE6_A, 0.4462, 0.0037
3FHV_A, 0.6101, 0.0062
3FKC_A, 0.6815, 0.0131
3FLO_B, 1.1011, 0.0093
3FNJ_C, 0.6020, 0.0096
3FPQ_A, 1.3654, 0.0124
3FQM_A, 0.7552, 0.0077
3FR9_B, 0.9531, 0.0067
3FTT_A, 0.7571, 0.0054
3FX3_B, 1.2569, 0.0022
3FXZ_A, 1.4479, 0.0019
3FZE_A, 0.9944, 0.0056
3G1N_A, 2.1215, 0.0083
3G3S_A, 1.1336, 0.0023
3G5I_D, 1.2456, 0.0118
3G5J_A, 0.6728, 0.0051
3G67_A, 2.3630, 0.0429
3GA5_B, 1.2590, 0.0351
3GI1_B, 1.0617, 0.0022
3GKU_A, 1.6732, 0.0193
3GOH_A, 1.4922, 0.0204
3GQV_A, 1.5954, 0.0135
3GU3_A, 1.3902, 0.0144
3GUU_A, 2.1591, 0.0214
3GW2_A, 0.5438, 0.0103
3GYD_A, 0.8169, 0.0091
3GYR_J, 3.4257, 0.1346
3GZ8_C, 0.9061, 0.0075
3H0L_K, 2.4985, 0.0307
3H36_A, 0.3585, 0.0082
3H76_B, 1.5350, 0.0151
3H8U_A, 0.5592, 0.0066
3H9P_A, 1.1034, 0.0116
3HBC_A, 1.4007, 0.0105
3HBL_D, 9.2722, 0.1254
3HBM_A, 1.4450, 0.0149
3HFI_A, 0.6526, 0.0036
3HGQ_A, 1.7467, 0.0151
3HJ6_A, 1.1746, 0.0082
3HL0_A, 1.5876, 0.0139
3HL6_A, 0.9619, 0.0071
3HM4_A, 0.6210, 0.0041
3HO7_A, 1.2014, 0.0089
3HUG_O, 0.3042, 0.0025
3HUP_A, 0.6182, 0.0093
3HX6_A, 2.5677, 0.0519
3HX8_A, 0.5984, 0.0058
3HXA_E, 0.3811, 0.0025
3HYB_A, 0.7794, 0.0143
3HZ4_A, 0.5024, 0.0058
3I04_P, 4.6111, 0.0901
3I3F_A, 0.5286, 0.0050
3I7K_A, 10.6382, 0.2180
3IAY_A, 6.6468, 0.1638
3IC9_A, 2.6067, 0.0439
3ICY_A, 0.7013, 0.0079
3IE4_A, 0.4167, 0.0096
3IE7_A, 1.5039, 0.0154
3IEK_D, 2.2332, 0.0186
3IMK_A, 0.5935, 0.0049
3IN6_A, 0.7807, 0.0042
3IWP_B, 1.1030, 0.0032
3JQO_A, 1.5796, 0.0340
3JQP_D, 1.4678, 0.0371
3JQW_A, 0.4985, 0.0089
3JS8_A, 2.8863, 0.0234
3JVD_A, 1.1054, 0.0026
3JZ3_A, 0.6914, 0.0081
3K0W_A, 0.8604, 0.0025
3K29_A, 1.1790, 0.0185
3K3S_D, 0.3611, 0.0029
3K6Y_A, 1.0243, 0.0119
3K8P_C, 1.9519, 0.0504
3KDR_A, 1.7276, 0.0277
3KEA_A, 1.5662, 0.0471
3KEB_A, 0.7517, 0.0078
3KF6_B, 0.4871, 0.0042
3KF8_A, 1.2210, 0.0191
3KHK_A, 2.9524, 0.0602
3KIF_D, 0.5255, 0.0020
3KIO_B, 0.8352, 0.0102
3KLL_A, 8.4911, 0.1248
3KMH_A, 0.9760, 0.0115
3KOL_A, 0.8656, 0.0114
3KRM_A, 0.8662, 0.0085
3KT6_B, 2.1809, 0.0208
3KUT_B, 0.3575, 0.0072
3KVC_B, 2.7023, 0.0166
3KVN_A, 3.2282, 0.0125
3KW3_B, 1.8774, 0.0191
3KZH_A, 1.5904, 0.0118
3L09_A, 1.1493, 0.0103
3L22_A, 2.5424, 0.0083
3L4E_A, 0.7431, 0.0063
3L4T_A, 6.1666, 0.0873
3L5K_A, 1.0260, 0.0099
3L6E_B, 0.9303, 0.0025
3L7V_A, 1.2627, 0.0035
3L81_A, 1.5023, 0.0015
3LAH_B, 0.9071, 0.0088
3LAZ_A, 0.5628, 0.0072
3LCC_A, 0.8748, 0.0074
3LDT_A, 0.7648, 0.0087
3LGX_D, 2.8963, 0.0136
3LHI_A, 0.9355, 0.0271
3LIM_D, 0.6664, 0.0071
3LIN_D, 0.5614, 0.0114
3LL3_A, 2.7167, 0.0425
3LMI_C, 1.2542, 0.0122
3LMO_A, 0.4436, 0.0066
3LUA_A, 0.5000, 0.0023
3LUQ_A, 0.4639, 0.0076
3M03_A, 0.4302, 0.0069
3M1E_A, 0.4543, 0.0078
3M32_E, 2.2438, 0.0167
3M7N_G, 1.3944, 0.0405
3MCQ_A, 1.4781, 0.0023
3MDV_B, 2.2007, 0.0259
3ME0_B, 0.7945, 0.0860
3MGD_A, 0.8518, 0.0031
3MJ0_A, 0.5351, 0.0062
3ML4_A, 0.9185, 0.0076
3MPK_A, 1.0256, 0.0137
3MQ1_A, 0.5651, 0.0072
3MQ2_A, 1.0045, 0.0073
3MR7_A, 0.7823, 0.0045
3MSQ_A, 1.0012, 0.0087
3MVK_I, 0.5375, 0.0077
3N3U_A, 1.4688, 0.0164
3N70_A, 0.6546, 0.0032
3N7X_A, 1.6083, 0.0014
3N84_A, 0.5718, 0.0061
3N89_A, 1.9906, 0.0124
3N98_A, 3.1520, 0.0542
3NAR_A, 0.3663, 0.0076
3NBC_A, 0.5869, 0.0059
3NBI_A, 1.2044, 0.0153
3NNE_F, 2.6672, 0.0048
3NNH_B, 0.3365, 0.0040
3NO0_A, 1.2039, 0.0156
3NOH_A, 0.5734, 0.0010
3NQH_A, 2.2892, 0.0194
3NVD_B, 4.7519, 0.0684
3NVQ_A, 4.4163, 0.0574
3NVY_K, 1.4743, 0.0137
3NXA_D, 0.4267, 0.0057
3NZ3_A, 0.6677, 0.0109
3NZN_A, 0.4404, 0.0092
3O0N_A, 3.6250, 0.0696
3O1Q_C, 0.9808, 0.0261
3O26_A, 1.3602, 0.0104
3O2Q_A, 1.5784, 0.0172
3O8H_A, 0.8463, 0.0109
3OE3_A, 0.4156, 0.0036
3OJ0_A, 0.6935, 0.0016
3OKI_A, 1.2265, 0.0107
3OO8_A, 1.7541, 0.0018
3ORJ_A, 2.0413, 0.0475
3OS7_A, 1.7101, 0.0126
3OUG_B, 0.5783, 0.0859
3OV5_A, 0.3454, 0.0034
3P0U_A, 1.5548, 0.0224
3P26_A, 2.6531, 0.0110
3P48_A, 0.6967, 0.0091
3PAN_B, 1.3496, 0.0036
3PE6_A, 1.5334, 0.0087
3PE7_A, 1.8078, 0.0127
3PET_A, 0.9135, 0.0106
3PFO_A, 2.1194, 0.0112
3PFT_A, 0.7179, 0.0119
3PGX_B, 1.0416, 0.0099
3PJV_D, 0.9443, 0.0126
3PL2_A, 1.2920, 0.0089
3PLT_A, 1.2550, 0.0162
3PMI_A, 0.5994, 0.0024
3PND_C, 1.7184, 0.0023
3PNX_A, 0.7603, 0.0055
3PPB_A, 0.8417, 0.0093
3PPL_A, 2.2608, 0.0070
3PRN_A, 1.1547, 0.0071
3PSR_B, 0.4981, 0.0106
3PU6_A, 0.5174, 0.0038
3PUC_A, 0.5290, 0.0014
3PV7_A, 1.1749, 0.0111
